run,category,source,target,input,status,result,response_time_ms,translation
"5","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1563","Bien qu'il soit tard, nous avons continué à travailler."
"6","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1546","Bien qu'il soit tard, nous avons continué à travailler."
"7","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1470","Bien qu'il soit tard, nous avons continué à travailler."
"8","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1379","Bien qu'il soit tard, nous avons continué à travailler."
"9","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1567","Bien qu'il soit tard, nous avons continué à travailler."
"10","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1609","Bien qu'il soit tard, nous avons continué à travailler."
"1","basic translation","fr","en","Comment allez-vous ?","200","PASS","1874","How are you?"
"2","basic translation","fr","en","Comment allez-vous ?","200","PASS","1593","How are you?"
"3","basic translation","fr","en","Comment allez-vous ?","200","PASS","2052","How are you?"
"4","basic translation","fr","en","Comment allez-vous ?","200","PASS","1444","How are you?"
"5","basic translation","fr","en","Comment allez-vous ?","200","PASS","1491","How are you?"
"6","basic translation","fr","en","Comment allez-vous ?","200","PASS","1411","How are you?"
"7","basic translation","fr","en","Comment allez-vous ?","200","PASS","1605","How are you?"
"8","basic translation","fr","en","Comment allez-vous ?","200","PASS","1375","How are you?"
"9","basic translation","fr","en","Comment allez-vous ?","200","PASS","1360","How are you?"
"10","basic translation","fr","en","Comment allez-vous ?","200","PASS","1666","How are you?"
"1","basic translation","fr","en","Où est la gare ?","200","PASS","1498","Where is the train station?"
"2","basic translation","fr","en","Où est la gare ?","200","PASS","1656","Where is the train station?"
"3","basic translation","fr","en","Où est la gare ?","200","PASS","1770","Where is the train station?"
"4","basic translation","fr","en","Où est la gare ?","200","PASS","1810","Where is the train station?"
"5","basic translation","fr","en","Où est la gare ?","200","PASS","1379","Where is the train station?"
"6","basic translation","fr","en","Où est la gare ?","200","PASS","1545","Where is the train station?"
"7","basic translation","fr","en","Où est la gare ?","200","PASS","3972","Where is the train station?"
"8","basic translation","fr","en","Où est la gare ?","200","PASS","1639","Where is the train station?"
"9","basic translation","fr","en","Où est la gare ?","200","PASS","1372","Where is the train station?"
"10","basic translation","fr","en","Où est la gare ?","200","PASS","2368","Where is the train station?"
"1","basic translation","fr","en","Il pleut des cordes.","200","PASS","3668","It's raining cats and dogs."
"2","basic translation","fr","en","Il pleut des cordes.","200","PASS","1493","It's raining cats and dogs."
"3","basic translation","fr","en","Il pleut des cordes.","200","PASS","1424","It's raining cats and dogs."
"4","basic translation","fr","en","Il pleut des cordes.","200","PASS","1576","It's raining cats and dogs."
"5","basic translation","fr","en","Il pleut des cordes.","200","PASS","1833","It's raining cats and dogs."
"6","basic translation","fr","en","Il pleut des cordes.","200","PASS","1480","It's raining cats and dogs."
"7","basic translation","fr","en","Il pleut des cordes.","200","PASS","1470","It's raining cats and dogs."
"8","basic translation","fr","en","Il pleut des cordes.","200","PASS","1327","It's raining cats and dogs."
"9","basic translation","fr","en","Il pleut des cordes.","200","PASS","1550","It's raining cats and dogs."
"10","basic translation","fr","en","Il pleut des cordes.","200","PASS","1363","It's raining cats and dogs."
"1","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1476","I deposited money at the bank."
"2","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1411","I deposited money at the bank."
"3","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1534","I deposited money at the bank."
"4","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1448","I deposited money at the bank."
"5","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1448","I deposited money at the bank."
"6","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","2001","I deposited money in the bank."
"7","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","2025","I deposited money at the bank."
"8","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1409","I deposited money at the bank."
"9","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","2742","I deposited money at the bank."
"10","basic translation","fr","en","J'ai déposé de l'argent à la banque.","200","PASS","1779","I deposited money at the bank."
"1","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1770","The movie starts at 7:30 PM."
"2","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1494","The movie starts at 7:30 PM."
"3","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1746","The movie starts at 7:30 PM."
"4","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1471","The movie starts at 7:30 PM."
"5","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1322","The movie starts at 7:30 PM."
"6","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1852","The movie starts at 7:30 PM."
"7","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1668","The movie starts at 7:30 PM."
"8","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","2271","The movie starts at 7:30 PM."
"9","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1299","The movie starts at 7:30 PM."
"10","basic translation","fr","en","Le film commence à 19 h 30.","200","PASS","1422","The movie starts at 7:30 PM."
"1","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1438","I don't think it's a good idea."
"2","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1642","I don't think that's a good idea."
"3","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1711","I don't think that's a good idea."
"4","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1503","I don't think that's a good idea."
"5","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1512","I don't think that's a good idea."
"6","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1472","I don't think that's a good idea."
"7","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1481","I don't think that's a good idea."
"8","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","2091","I don't think that's a good idea."
"9","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1571","I don't think that's a good idea."
"10","basic translation","fr","en","Je ne pense pas que ce soit une bonne idée.","200","PASS","1603","I don't think that's a good idea."
"1","basic translation","fr","en","María habite à New York.","200","PASS","2356","Unsupported language code or unknown language name."
"2","basic translation","fr","en","María habite à New York.","200","PASS","1652","Unsupported language code or unknown language name."
"3","basic translation","fr","en","María habite à New York.","200","PASS","1890","Unsupported language code or unknown language name."
"4","basic translation","fr","en","María habite à New York.","200","PASS","1573","Unsupported language code or unknown language name."
"5","basic translation","fr","en","María habite à New York.","200","PASS","1445","Unsupported language code or unknown language name."
"6","basic translation","fr","en","María habite à New York.","200","PASS","1433","Unsupported language code or unknown language name."
"7","basic translation","fr","en","María habite à New York.","200","PASS","1722","Unsupported language code or unknown language name."
"8","basic translation","fr","en","María habite à New York.","200","PASS","1455","Unsupported language code or unknown language name."
"9","basic translation","fr","en","María habite à New York.","200","PASS","1636","Unsupported language code or unknown language name."
"10","basic translation","fr","en","María habite à New York.","200","PASS","1423","Unsupported language code or unknown language name."
"1","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1496","Can you help me with this problem?"
"2","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1747","Can you help me with this problem?"
"3","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1690","Can you help me with this problem?"
"4","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1757","Can you help me with this problem?"
"5","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1443","Can you help me with this problem?"
"6","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1546","Can you help me with this problem?"
"7","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1461","Can you help me with this problem?"
"8","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1694","Can you help me with this problem?"
"9","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1530","Can you help me with this problem?"
"10","basic translation","fr","en","Peux-tu m'aider avec ce problème ?","200","PASS","1934","Can you help me with this problem?"
"1","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1911","The package weighs 12.5 kilograms."
"2","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1446","The package weighs 12.5 kilograms."
"3","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1642","The package weighs 12.5 kilograms."
"4","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1517","The package weighs 12.5 kilograms."
"5","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1583","The package weighs 12.5 kilograms."
"6","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1487","The package weighs 12.5 kilograms."
"7","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1375","The package weighs 12.5 kilograms."
"8","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1487","The package weighs 12.5 kilograms."
"9","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1702","The package weighs 12.5 kilograms."
"10","basic translation","fr","en","Le colis pèse 12,5 kilogrammes.","200","PASS","1435","The package weighs 27.5 pounds."
"1","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1399","Even though it was late, we kept working."
"2","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1567","Even though it was late, we kept working."
"3","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1500","Even though it was late, we kept working."
"4","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1534","Even though it was late, we kept working."
"5","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1439","Even though it was late, we kept working."
"6","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1926","Even though it was late, we kept working."
"7","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","3144","Even though it was late, we kept working."
"8","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1736","Even though it was late, we kept working."
"9","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1572","Even though it was late, we kept working."
"10","basic translation","fr","en","Même s'il était tard, nous avons continué à travailler.","200","PASS","1502","Even though it was late, we kept working."
